name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,national_team,national_rating,national_team_position,national_jersey_number,Defending,Physical_Mobility,Finishing_Attacking,Static_Physical_Reactivity,Technique_Creativity,Aggression_Aerial
Eltildo Correia,Eltildo Lucas Correia Pitta,2/29/1992,27,187.96,78.0,"CB,RB,LB",Brazil,76,76,6500000.0,30000.0,Right,1,3,2,Normal,12400000.0,,,,,75.75,51.6,51.285714285714285,80.33333333333333,61.714285714285715,76.5
João Pedro,João Pedro Geraldino dos Santos Galvão,3/9/1992,26,182.88,73.0,"CAM,CF,ST",Brazil,76,77,9000000.0,30000.0,Right,1,4,4,Lean,16000000.0,,,,,36.0,72.0,71.14285714285714,71.0,74.0,68.5
A. Diamanti,Alessandro Diamanti,5/2/1983,35,154.94,74.8,"CAM,CF",Italy,76,76,3400000.0,4000.0,Left,2,2,4,Normal,5200000.0,,,,,30.5,69.0,73.85714285714286,58.333333333333336,77.57142857142857,57.0
Guilherme,Guilherme dos Santos Torres,4/5/1991,27,152.4,76.2,"CDM,CM",Brazil,76,78,7500000.0,1000.0,Right,1,4,3,Normal,16300000.0,,,,,73.75,70.2,61.0,75.33333333333333,73.85714285714286,71.0
J. Morel,Jérémy Morel,4/2/1984,34,175.26,78.0,CB,Madagascar,76,76,2300000.0,48000.0,Left,2,2,2,Normal,4400000.0,,,,,75.75,71.8,48.142857142857146,77.33333333333333,64.28571428571429,78.0
Llorente,Fernando Javier Llorente Torres,2/26/1985,34,193.04,92.1,ST,Spain,76,76,4800000.0,76000.0,Right,3,3,3,Normal,8900000.0,,,,,24.75,31.6,67.85714285714286,73.66666666666667,71.42857142857143,80.5
G. Gönül,Gökhan Gönül,1/4/1985,34,175.26,74.8,RB,Turkey,76,76,3000000.0,40000.0,Right,2,3,3,Lean,5600000.0,,,,,75.0,77.8,62.285714285714285,74.0,73.57142857142857,67.0
A. Paloschi,Alberto Paloschi,1/4/1990,29,182.88,79.8,ST,Italy,76,76,8000000.0,17000.0,Right,2,4,3,Normal,14400000.0,,,,,21.0,72.6,67.71428571428571,80.0,66.85714285714286,79.5
Juli Freitinho,Julio Leonardo Dourado de Freitas,2/29/1988,31,193.04,91.2,CB,Brazil,76,76,5500000.0,13000.0,Right,1,3,2,Normal,10500000.0,,,,,74.25,43.8,50.857142857142854,71.33333333333333,55.57142857142857,79.5
Markel Bergara,Markel Bergara Larrañaga,5/5/1986,32,154.94,78.0,"CDM,CM",Spain,76,76,4400000.0,21000.0,Right,1,3,3,Normal,9300000.0,,,,,76.0,58.2,62.285714285714285,73.66666666666667,69.57142857142857,70.0
L. Nguyen,Lee Nguyen,10/7/1986,32,172.72,68.0,"CAM,CM,ST",United States,76,76,7000000.0,9000.0,Right,1,3,4,Normal,10500000.0,,,,,44.0,73.2,71.85714285714286,60.0,75.57142857142857,52.5
A. Knockaert,Anthony Knockaert,11/20/1991,27,172.72,68.9,RM,France,76,76,8500000.0,44000.0,Left,1,3,4,Normal,16200000.0,,,,,46.0,78.6,70.0,66.0,74.28571428571429,69.5
Córdoba,Iñigo Córdoba Kerejeta,3/13/1997,21,154.94,73.0,LW,Spain,76,83,11000000.0,19000.0,Left,1,3,4,Lean,25300000.0,,,,,56.75,82.6,61.857142857142854,66.0,73.71428571428571,61.0
J. Veltman,Joël Veltman,1/15/1992,27,182.88,74.8,"RB,CB",Netherlands,76,77,7500000.0,16000.0,Right,2,4,2,Normal,11100000.0,,,,,78.5,69.4,42.857142857142854,74.33333333333333,66.57142857142857,77.0
N. Sansone,Nicola Sansone,9/10/1991,27,175.26,68.0,"ST,LM,RM",Italy,76,77,9000000.0,32000.0,Right,2,3,4,Normal,,,,,,40.25,77.2,74.28571428571429,68.33333333333333,75.28571428571429,66.5
A. Turan,Arda Turan,1/30/1987,32,152.4,76.2,"CM,RM,LM",Turkey,76,76,6500000.0,110000.0,Right,3,4,4,Normal,,,,,,63.25,68.0,73.85714285714286,71.0,78.0,74.5
H. Seferović,Haris Seferović,2/22/1992,27,187.96,84.8,ST,Switzerland,76,77,9000000.0,13000.0,Left,2,3,3,Normal,18700000.0,SL Benfica,79.0,LS,14.0,35.5,66.4,71.71428571428571,79.33333333333333,69.71428571428571,77.0
Rafael Cachoira,Rafael Jorgino Cachoira Rebelo,2/29/1988,31,187.96,83.9,"CB,CDM",Brazil,76,76,5500000.0,20000.0,Right,1,3,2,Stocky,10500000.0,,,,,76.75,54.8,44.857142857142854,67.0,61.142857142857146,78.5
A. Haidara,Amadou Haidara,1/31/1998,21,175.26,67.1,"CM,RM",Mali,76,84,11500000.0,32000.0,Right,1,2,4,Lean,21900000.0,,,,,66.5,77.2,68.0,74.0,76.14285714285714,56.0
F. Caputo,Francesco Caputo,8/6/1987,31,154.94,73.9,ST,Italy,76,76,7500000.0,17000.0,Right,1,4,3,Lean,13500000.0,,,,,21.25,82.0,69.71428571428571,78.66666666666667,67.57142857142857,61.0
M. Locatelli,Manuel Locatelli,1/8/1998,21,185.42,74.8,"CDM,CM",Italy,76,84,10000000.0,45000.0,Right,1,3,3,Lean,,,,,,74.25,64.8,61.42857142857143,65.66666666666667,74.42857142857143,68.0
J. Ayew,Jordan Ayew,9/11/1991,27,182.88,81.2,ST,Ghana,76,76,8500000.0,31000.0,Right,2,3,4,Normal,,,,,,40.75,77.0,72.85714285714286,72.0,71.42857142857143,72.0
T. Jedvaj,Tin Jedvaj,11/28/1995,23,182.88,82.1,"CB,RB,LB",Croatia,76,83,9500000.0,40000.0,Right,2,3,2,Normal,18100000.0,,,,,75.5,68.2,43.0,75.33333333333333,60.57142857142857,78.5
S. Hanni,Sofiane Hanni,12/29/1990,28,152.4,72.1,"CAM,LW",Algeria,76,76,8000000.0,1000.0,Right,1,4,4,Normal,16800000.0,,,,,52.5,76.2,71.71428571428571,57.666666666666664,74.57142857142857,55.0
Andrés Fernández,Andrés Eduardo Fernández Moreno,12/16/1986,32,187.96,82.1,GK,Spain,76,76,4700000.0,22000.0,Right,1,3,1,Normal,9800000.0,,,,,19.25,55.6,15.571428571428571,75.33333333333333,32.285714285714285,26.0
T. Monconduit,Thomas Monconduit,2/10/1991,28,182.88,83.0,"CDM,CM",France,76,77,7500000.0,18000.0,Right,1,3,2,Normal,15600000.0,,,,,75.0,68.4,54.857142857142854,72.33333333333333,70.85714285714286,71.5
N. Mukiele,Nordi Mukiele,11/1/1997,21,185.42,73.9,"RB,CB",France,76,85,10000000.0,28000.0,Right,1,3,3,Normal,19000000.0,,,,,76.75,72.8,46.0,78.0,67.42857142857143,70.5
D. Heintz,Dominique Heintz,8/15/1993,25,187.96,88.9,CB,Germany,76,78,8000000.0,19000.0,Left,2,3,2,Stocky,15000000.0,,,,,76.0,57.0,37.0,75.33333333333333,62.285714285714285,74.0
Júnior Caiçara,Uílson de Souza Paula Júnior,4/27/1989,29,172.72,69.9,"RB,RM",Brazil,76,76,6000000.0,24000.0,Right,2,4,3,Lean,11400000.0,,,,,73.5,81.4,63.285714285714285,65.0,73.0,64.5
A. Lennon,Aaron  Lennon,4/16/1987,31,165.1,63.0,"RM,LM",England,76,76,7000000.0,48000.0,Right,2,3,3,Normal,13300000.0,,,,,50.25,83.6,63.285714285714285,65.66666666666667,72.42857142857143,42.5
J. Willems,Jetro Willems,3/30/1994,24,152.4,82.1,"LWB,LB,LM,CDM",Netherlands,76,79,8000000.0,25000.0,Left,2,4,3,Stocky,14200000.0,,,,,71.5,77.2,62.285714285714285,75.33333333333333,75.42857142857143,70.0
M. Veljković,Miloš Veljković,9/26/1995,23,182.88,77.1,"CB,CDM",Serbia,76,83,9500000.0,21000.0,Right,1,3,2,Normal,18100000.0,,,,,75.25,63.6,30.428571428571427,78.0,61.285714285714285,71.5
I. Belfodil,Ishak Belfodil,1/12/1992,27,190.5,86.2,"ST,CF",Algeria,76,77,9000000.0,35000.0,Right,2,2,3,Lean,16000000.0,,,,,28.25,63.0,70.28571428571429,75.66666666666667,73.42857142857143,78.5
Miguel Lopes,Hugo Miguel Almeida Costa Lopes,12/19/1986,32,182.88,83.0,RB,Portugal,76,76,5000000.0,17000.0,Right,2,4,3,Normal,10000000.0,,,,,74.75,75.8,54.285714285714285,71.66666666666667,68.42857142857143,72.0
D. Stephens,Dale Stephens,6/12/1989,29,185.42,71.2,"CM,CDM",England,76,76,7500000.0,46000.0,Right,1,3,3,Lean,14300000.0,,,,,72.75,67.2,62.714285714285715,78.33333333333333,73.71428571428571,74.0
Brais Méndez,Brais Méndez Portela,1/7/1997,22,187.96,76.2,"RM,RW,CM,CAM",Spain,76,85,12000000.0,17000.0,Left,1,3,4,Lean,27600000.0,,,,,42.0,69.2,69.85714285714286,69.66666666666667,75.71428571428571,48.5
A. Smith,Adam Smith,4/29/1991,27,154.94,78.0,"LB,RB,RWB",England,76,77,7000000.0,51000.0,Right,1,3,3,Lean,13800000.0,,,,,75.5,74.8,57.142857142857146,62.666666666666664,71.42857142857143,65.0
Recio,José Luis García del Pozo,1/11/1991,28,182.88,73.9,"CDM,CM",Spain,76,77,7500000.0,26000.0,Right,1,3,3,Normal,16300000.0,,,,,71.5,59.8,67.42857142857143,64.0,74.42857142857143,73.0
Kiko Femenía,Francisco Femenía Far,2/2/1991,28,175.26,60.8,"RB,RWB,RM",Spain,76,76,6500000.0,44000.0,Right,1,3,3,Normal,12400000.0,,,,,75.25,80.0,60.42857142857143,68.0,69.0,61.0
M. Gaćinović,Mijat Gaćinović,2/8/1995,24,175.26,68.9,"CM,CAM",Serbia,76,82,10500000.0,28000.0,Right,1,3,4,Lean,20000000.0,,,,,61.75,80.6,63.285714285714285,64.0,74.42857142857143,56.0
P. Skjelbred,Per Ciljan Skjelbred,6/16/1987,31,175.26,73.9,"CDM,CM",Norway,76,76,5000000.0,24000.0,Right,2,3,3,Lean,8500000.0,,,,,73.5,72.0,51.857142857142854,72.33333333333333,72.0,65.5
Fernandinho,Da Conceição Fernando Henrique,3/16/1993,25,175.26,64.9,"CAM,RM",Brazil,76,79,9500000.0,11000.0,Left,1,3,4,Lean,21100000.0,,,,,51.25,76.2,65.85714285714286,76.66666666666667,74.57142857142857,53.5
S. Brown,Scott Brown,6/25/1985,33,175.26,79.8,CDM,Scotland,76,76,3100000.0,44000.0,Right,2,3,3,Stocky,5600000.0,,,,,74.5,72.4,50.57142857142857,75.33333333333333,71.85714285714286,69.0
M. Grujić,Marko Grujić,4/13/1996,22,190.5,82.1,"CDM,CM",Serbia,76,86,11000000.0,64000.0,Right,1,3,3,Normal,,,,,,71.75,64.2,62.714285714285715,76.0,77.71428571428571,77.5
A. Soumaoro,Adama Soumaoro,6/18/1992,26,187.96,91.2,CB,France,76,80,8500000.0,28000.0,Right,1,3,2,Normal,16800000.0,,,,,75.5,62.6,35.57142857142857,78.0,53.714285714285715,77.5
Raúl Navas,Raúl Rodríguez Navas,5/11/1988,30,185.42,83.9,CB,Spain,76,76,5500000.0,24000.0,Right,1,3,2,Normal,11600000.0,,,,,75.75,51.8,43.57142857142857,71.0,59.0,78.5
A. Szalai,Ádám Szalai,12/9/1987,31,193.04,89.8,ST,Hungary,76,76,7500000.0,35000.0,Right,2,3,3,Normal,12800000.0,Hungary,73.0,ST,9.0,31.5,55.6,66.57142857142857,75.66666666666667,69.42857142857143,79.0
A. Diawara,Amadou Diawara,7/17/1997,21,182.88,73.9,"CM,CDM",Guinea,76,84,11500000.0,38000.0,Right,2,3,3,Lean,21900000.0,,,,,73.25,72.6,50.714285714285715,67.0,75.85714285714286,69.5
L. Skorupski,Łukasz Skorupski,5/5/1991,27,187.96,83.9,GK,Poland,76,79,6500000.0,23000.0,Right,2,2,1,Lean,11500000.0,Poland,77.0,SUB,12.0,14.75,43.8,15.571428571428571,61.333333333333336,29.857142857142858,21.5
R. Hamouma,Romain Hamouma,3/29/1987,31,152.4,76.2,RM,France,76,76,7000000.0,30000.0,Right,2,4,3,Normal,13300000.0,,,,,39.75,74.2,73.14285714285714,64.0,74.57142857142857,61.5
K. Stöger,Kevin Stöger,8/27/1993,25,175.26,74.8,"CAM,CM,LM",Austria,76,79,10000000.0,25000.0,Left,1,3,3,Normal,18800000.0,,,,,34.25,74.8,64.0,64.33333333333333,75.57142857142857,47.5
K. Linetty,Karol Linetty,2/2/1995,24,175.26,73.0,CM,Poland,76,83,10500000.0,28000.0,Right,2,3,3,Normal,20000000.0,,,,,73.0,75.8,54.57142857142857,73.0,74.0,67.5
S. Bell,Stefan Bell,8/24/1991,27,193.04,88.0,CB,Germany,76,77,7500000.0,24000.0,Right,1,2,2,Normal,13300000.0,,,,,76.5,51.4,35.714285714285715,75.0,60.285714285714285,74.5
A. N'Diaye,Alfred John Momar N'Diaye,3/6/1990,29,187.96,89.8,"CDM,CM",Senegal,76,77,7000000.0,28000.0,Right,1,3,3,Stocky,,,,,,73.5,67.0,47.57142857142857,75.33333333333333,71.85714285714286,68.0
Y. Yazıcı,Yusuf Yazıcı,1/29/1997,22,182.88,73.9,"CAM,CM,RM",Turkey,76,83,11000000.0,22000.0,Left,1,4,4,Lean,24200000.0,Turkey,76.0,RM,11.0,44.25,74.0,71.85714285714286,64.0,75.42857142857143,68.0
B. Oczipka,Bastian Oczipka,1/12/1989,30,185.42,84.8,"LWB,LB,LM",Germany,76,76,6000000.0,28000.0,Left,2,2,2,Normal,10200000.0,,,,,75.5,69.0,61.142857142857146,74.33333333333333,71.85714285714286,71.5
F. Valverde,Federico Valverde,7/22/1998,20,182.88,78.0,"CM,LM,CAM",Uruguay,76,88,13000000.0,52000.0,Right,1,3,3,Normal,29300000.0,Uruguay,81.0,SUB,5.0,64.0,68.6,55.285714285714285,63.333333333333336,77.57142857142857,53.5
M. Benítez,Martín Benítez,6/17/1994,24,172.72,72.1,"CAM,LM,RM,RW",Argentina,76,80,10000000.0,18000.0,Right,1,2,4,Lean,14800000.0,,,,,44.5,79.8,66.14285714285714,64.0,72.85714285714286,50.5
M. Vorm,Michel Vorm,10/20/1983,35,182.88,83.9,GK,Netherlands,76,76,3100000.0,52000.0,Right,2,3,1,Normal,5800000.0,,,,,18.75,51.8,17.428571428571427,71.0,35.0,20.0
N. Mendy,Nampalys Mendy,6/23/1992,26,167.64,73.0,"CDM,CM",France,76,78,7500000.0,52000.0,Right,1,3,3,Stocky,14800000.0,,,,,74.25,75.8,55.714285714285715,72.66666666666667,70.57142857142857,71.0
J. Vázquez,José Juan Vázquez Gómez,3/14/1988,30,165.1,64.0,"CDM,CM",Mexico,76,76,5500000.0,20000.0,Right,1,3,2,Normal,9400000.0,,,,,75.75,81.2,55.714285714285715,68.66666666666667,70.28571428571429,59.0
Unai Núñez,Unai Núñez Gestoso,1/30/1997,22,185.42,81.2,CB,Spain,75,83,8500000.0,14000.0,Right,1,3,2,Normal,19600000.0,,,,,73.5,61.0,22.428571428571427,71.66666666666667,48.285714285714285,75.0
N. Radoja,Nemanja Radoja,2/6/1993,26,185.42,77.1,"CM,CDM",Serbia,75,78,8000000.0,20000.0,Right,1,3,3,Normal,17400000.0,,,,,73.75,48.2,52.714285714285715,65.66666666666667,72.14285714285714,62.5
K. Gibbs,Kieran  Gibbs,9/26/1989,29,152.4,69.9,"LB,LWB",England,75,75,5500000.0,31000.0,Left,2,2,3,Lean,10500000.0,,,,,74.0,77.2,57.57142857142857,71.0,69.71428571428571,69.0
A. Hamdallah,Abderrazak Hamdallah,12/17/1990,28,182.88,81.2,ST,Morocco,75,75,7000000.0,38000.0,Right,1,3,3,Normal,11900000.0,,,,,20.5,68.8,69.71428571428571,68.33333333333333,68.85714285714286,63.5
Pablo Santos,Pablo Renan dos Santos,3/18/1992,26,187.96,82.1,CB,Brazil,75,78,7000000.0,13000.0,Left,1,2,2,Normal,14500000.0,,,,,77.25,65.6,31.0,77.66666666666667,49.285714285714285,72.5
S. Fofana,Seko Fofana,5/7/1995,23,182.88,77.1,"CM,CDM",Ivory Coast,75,82,9000000.0,22000.0,Right,2,4,3,Lean,17100000.0,,,,,69.0,73.8,60.0,71.66666666666667,74.42857142857143,67.0
Felipe,Felipe Dias da Silva dal Belo,7/31/1984,34,187.96,74.8,CB,Brazil,75,75,2700000.0,13000.0,Left,2,3,2,Lean,4900000.0,,,,,78.5,47.8,30.428571428571427,69.33333333333333,58.857142857142854,72.0
C. Villanueva,Carlos Andrés Villanueva Roland,2/5/1986,33,172.72,73.0,"CAM,CM",Chile,76,76,6000000.0,36000.0,Left,1,3,5,Normal,10200000.0,,,,,47.0,73.2,74.0,51.0,77.57142857142857,40.5
Mossoró,José Márcio da Costa,7/4/1983,35,170.18,67.1,CAM,Brazil,76,76,3900000.0,25000.0,Right,1,4,4,Normal,7400000.0,,,,,43.75,74.6,71.71428571428571,65.33333333333333,76.0,73.5
Diego Rico,Diego Rico Salguero,2/23/1993,26,182.88,76.2,"LB,LWB",Spain,76,78,7500000.0,49000.0,Left,1,2,3,Normal,14800000.0,,,,,72.75,72.8,57.857142857142854,72.33333333333333,68.0,72.0
Alberto Moreno,Alberto Moreno Pérez,7/5/1992,26,170.18,64.9,LB,Spain,76,78,7500000.0,71000.0,Left,2,3,3,Normal,14400000.0,,,,,71.5,84.8,55.714285714285715,73.0,70.57142857142857,72.0
J. Clasie,Jordy Clasie,6/27/1991,27,170.18,66.2,"CM,CDM",Netherlands,76,77,8500000.0,44000.0,Right,2,4,3,Normal,,,,,,70.75,72.6,68.0,69.66666666666667,76.28571428571429,54.0
R. Funes Mori,Rogelio Gabriel Funes Mori,3/5/1991,28,182.88,81.2,ST,Argentina,76,77,9000000.0,46000.0,Right,2,4,3,Lean,15100000.0,,,,,40.75,76.2,71.14285714285714,77.33333333333333,71.85714285714286,77.5
O. Alonso,Osvaldo Alonso Moreno,11/11/1985,33,154.94,69.9,"CDM,CM",Cuba,76,76,4400000.0,8000.0,Right,1,4,2,Normal,6600000.0,,,,,71.5,71.0,62.0,71.33333333333333,76.28571428571429,76.5
A. Djiku,Alexander Djiku,8/9/1994,24,182.88,73.9,CB,France,76,82,9000000.0,18000.0,Right,1,3,2,Normal,19800000.0,,,,,76.75,72.2,44.142857142857146,75.0,61.714285714285715,75.5
J. Hogg,Jonathan Hogg,12/6/1988,30,175.26,73.0,"CDM,CM",England,76,76,6000000.0,42000.0,Right,1,3,3,Normal,11400000.0,,,,,76.25,72.4,49.57142857142857,71.0,67.57142857142857,74.5
D. Calvert-Lewin,Dominic Calvert-Lewin,3/16/1997,21,187.96,71.2,"ST,LM",England,75,82,9500000.0,60000.0,Right,1,3,3,Lean,20000000.0,,,,,31.5,76.0,59.285714285714285,76.66666666666667,66.14285714285714,74.0
M. Zeegelaar,Marvin Zeegelaar,8/12/1990,28,185.42,82.1,"LB,LWB",Netherlands,75,75,5500000.0,42000.0,Left,1,3,3,Normal,,,,,,74.0,68.4,60.714285714285715,72.33333333333333,69.85714285714286,65.5
G. Carrillo,Guido Carrillo,5/25/1991,27,190.5,87.1,ST,Argentina,75,76,8000000.0,46000.0,Right,1,3,3,Normal,,,,,,33.0,63.6,65.71428571428571,76.0,67.0,77.5
Jozabed,Jozabed Sánchez Ruiz,3/8/1991,28,154.94,67.1,"CM,CDM,CAM",Spain,75,76,7500000.0,21000.0,Right,1,3,3,Lean,16300000.0,,,,,61.0,66.0,66.14285714285714,68.33333333333333,73.42857142857143,61.0
A. Franco,Alan Javier Franco,10/11/1996,22,182.88,77.1,CB,Argentina,75,85,9500000.0,13000.0,Right,1,2,2,Normal,15200000.0,,,,,75.25,65.0,33.285714285714285,74.66666666666667,49.0,74.5
D. Brooks,David Brooks,7/8/1997,21,182.88,62.1,"RM,CAM",Wales,75,86,11500000.0,39000.0,Left,1,3,4,Lean,24200000.0,Wales,75.0,RM,13.0,30.25,77.6,59.714285714285715,60.666666666666664,73.57142857142857,42.0
J. Bruma,Jeffrey Bruma,11/13/1991,27,190.5,88.0,CB,Netherlands,75,78,7000000.0,35000.0,Right,2,3,2,Normal,,,,,,72.5,55.4,47.285714285714285,76.0,68.14285714285714,79.0
L. Sepe,Luigi Sepe,5/8/1991,27,185.42,74.8,GK,Italy,75,78,5500000.0,36000.0,Left,1,2,1,Normal,,,,,,21.5,40.4,14.714285714285714,65.33333333333333,32.285714285714285,12.5
S. Vokes,Sam Vokes,10/21/1989,29,187.96,89.8,ST,Wales,75,75,7000000.0,45000.0,Right,1,3,2,Stocky,13300000.0,Wales,75.0,SUB,9.0,37.75,57.6,68.85714285714286,83.0,70.57142857142857,81.5
Javi López,Javier López Rodríguez,1/21/1986,33,154.94,76.2,"RB,RWB",Spain,75,75,3700000.0,23000.0,Right,1,3,3,Normal,7700000.0,,,,,73.75,71.2,54.714285714285715,73.33333333333333,69.0,72.0
J. Amavi,Jordan Amavi,3/9/1994,24,175.26,69.9,LB,France,75,80,7500000.0,30000.0,Left,1,5,3,Normal,14800000.0,,,,,72.5,77.2,62.857142857142854,75.66666666666667,69.14285714285714,66.5
Idris,Idrissa Mandiang,12/27/1984,34,187.96,83.0,CDM,Senegal,75,75,2700000.0,8000.0,Right,1,2,2,Normal,5700000.0,,,,,73.75,60.8,48.0,73.33333333333333,67.0,82.0
A. Potuk,Alper Potuk,4/8/1991,27,152.4,67.1,"CAM,LM,RM",Turkey,75,76,7500000.0,53000.0,Right,1,4,3,Lean,14800000.0,,,,,50.5,81.0,59.57142857142857,69.0,73.85714285714286,68.5
O. Norwood,Oliver Norwood,4/12/1991,27,175.26,68.9,CM,Northern Ireland,75,75,7000000.0,14000.0,Right,1,3,2,Lean,13300000.0,Northern Ireland,71.0,CDM,16.0,71.5,64.8,68.0,64.33333333333333,74.28571428571429,63.5
R. Khedira,Rani Khedira,1/27/1994,25,187.96,83.9,"CB,CDM",Germany,75,78,7000000.0,18000.0,Right,1,3,2,Normal,13100000.0,,,,,75.75,61.6,40.285714285714285,71.0,64.42857142857143,73.0
D. Machís,Darwin Machís,2/7/1993,26,170.18,73.9,"LW,RW,CAM",Venezuela,75,76,8000000.0,26000.0,Right,1,4,4,Stocky,,Venezuela,73.0,LM,7.0,34.25,85.2,64.57142857142857,68.33333333333333,73.0,61.5
R. Quaison,Robin Quaison,10/9/1993,25,182.88,77.1,"CF,ST,LW",Sweden,75,78,8500000.0,24000.0,Right,1,3,3,Normal,15100000.0,Sweden,76.0,SUB,20.0,51.25,76.8,67.42857142857143,67.66666666666667,73.71428571428571,55.0
P. Dummett,Paul Dummett,9/26/1991,27,182.88,82.1,LB,Wales,75,76,6500000.0,38000.0,Left,1,2,3,Normal,12800000.0,Wales,75.0,SUB,3.0,78.0,69.4,44.857142857142854,74.66666666666667,61.57142857142857,74.0
L. Dimata,Landry Dimata,9/1/1997,21,182.88,83.0,ST,Belgium,75,83,10000000.0,31000.0,Right,1,3,3,Normal,,,,,,29.25,75.2,60.285714285714285,76.66666666666667,65.28571428571429,72.5
Allan Bardinho,Allan Norberto Bardini Paneira,2/29/1992,27,175.26,72.1,"CAM,CM",Brazil,75,75,7000000.0,22000.0,Left,1,4,4,Stocky,13300000.0,,,,,35.0,71.6,63.857142857142854,55.666666666666664,74.14285714285714,37.5
L. Butelle,Ludovic Butelle,4/3/1983,35,187.96,83.9,GK,France,75,75,1600000.0,11000.0,Left,2,3,1,Normal,3100000.0,,,,,12.75,32.2,13.857142857142858,65.66666666666667,30.714285714285715,24.0
S. Cristóforo,Sebastián Cristóforo,8/23/1993,25,175.26,68.0,"CDM,CM",Uruguay,75,79,7500000.0,36000.0,Right,2,3,3,Normal,,,,,,74.0,71.2,52.42857142857143,69.0,71.57142857142857,67.0
Jason,David Jason Remeseiro Salgueiro,7/6/1994,24,152.4,64.9,RM,Spain,75,81,9000000.0,19000.0,Right,1,4,3,Normal,20700000.0,,,,,43.25,77.8,71.0,67.66666666666667,72.57142857142857,52.0
M. Agu,Mikel Agu,5/27/1993,25,182.88,77.1,"CDM,CM",Nigeria,75,78,7000000.0,11000.0,Right,1,3,2,Normal,,,,,,75.75,69.6,39.57142857142857,76.33333333333333,63.0,75.5
E. Badu,Emmanuel Badu,12/2/1990,28,172.72,69.9,"CM,CDM",Ghana,75,75,7000000.0,25000.0,Right,2,3,3,Normal,11900000.0,,,,,72.25,83.6,64.57142857142857,77.0,73.57142857142857,71.0
N. Redmond,Nathan Redmond,3/6/1994,25,172.72,68.9,"LM,RW",England,75,79,8500000.0,36000.0,Right,2,3,4,Lean,16800000.0,,,,,25.25,83.2,65.71428571428571,50.0,73.28571428571429,35.5
Sandro,Sandro Ranieri Guimarães Cordeiro,3/15/1989,29,187.96,74.8,"CDM,CM",Brazil,75,75,5000000.0,16000.0,Right,2,3,3,Lean,,,,,,75.75,57.4,61.42857142857143,72.0,73.14285714285714,77.5
A. Mounier,Anthony Mounier,9/27/1987,31,175.26,64.9,"RW,LW,LM",France,75,75,6500000.0,1000.0,Left,2,2,3,Normal,14300000.0,,,,,34.75,78.0,70.42857142857143,63.333333333333336,73.85714285714286,60.0
Matheus Pereira,Matheus Fellipe Costa Pereira,5/5/1996,22,175.26,73.9,"RM,LM",Brazil,75,81,9000000.0,11000.0,Left,1,3,4,Normal,,,,,,37.0,80.6,72.28571428571429,63.333333333333336,72.0,52.0
C. Jallet,Christophe Jallet,10/31/1983,35,152.4,69.9,"RWB,LB",France,75,75,1900000.0,26000.0,Right,2,3,3,Lean,3600000.0,,,,,74.25,72.0,65.71428571428571,70.66666666666667,73.85714285714286,72.5
Diego Castro,Diego Castro Giménez,7/2/1982,36,175.26,71.2,LW,Spain,75,75,2900000.0,6000.0,Right,2,4,4,Normal,3700000.0,,,,,42.75,67.0,75.0,70.33333333333333,75.14285714285714,60.0
S. Okazaki,岡崎 慎司,4/16/1986,32,172.72,78.0,"CAM,CF",Japan,75,75,5000000.0,54000.0,Right,2,4,3,Normal,9500000.0,,,,,48.75,72.4,67.28571428571429,79.66666666666667,72.14285714285714,75.5
O. Kamara,Ola  Williams Kamara,10/15/1989,29,182.88,81.2,"ST,LW",Norway,75,75,7000000.0,10000.0,Right,1,3,3,Normal,10500000.0,,,,,28.0,73.8,68.42857142857143,77.66666666666667,66.85714285714286,70.0
Xeka,Miguel Ângelo da Silva Rocha,11/10/1994,24,185.42,83.0,"CDM,CM",Portugal,75,81,8000000.0,23000.0,Right,1,4,4,Normal,16800000.0,,,,,68.5,63.0,59.142857142857146,71.33333333333333,76.28571428571429,70.5
R. Karsdorp,Rick Karsdorp,2/11/1995,24,182.88,79.8,RB,Netherlands,75,80,7500000.0,39000.0,Right,1,3,3,Normal,13300000.0,,,,,72.0,74.6,60.714285714285715,72.0,72.71428571428571,73.5
Marafona,José Carlos Coentrão Marafona,5/8/1987,31,190.5,86.2,GK,Portugal,75,75,4000000.0,10000.0,Right,1,2,1,Normal,8100000.0,,,,,15.25,37.2,17.857142857142858,60.0,34.285714285714285,27.0
D. Valdés,Diego Valdés,1/30/1994,25,152.4,74.8,"CAM,CM",Chile,75,79,8500000.0,18000.0,Right,1,3,4,Lean,15100000.0,Santos Laguna,72.0,LCM,10.0,49.25,75.0,66.57142857142857,70.66666666666667,75.0,59.0
M. Gonalons,Maxime Gonalons,3/10/1989,29,187.96,76.2,"CDM,CM",France,75,75,5000000.0,47000.0,Right,3,4,3,Lean,,,,,,75.25,62.0,59.42857142857143,77.0,72.0,78.5
Burgui,Jorge Franco Alviz,10/29/1993,25,182.88,74.8,"LM,CAM,RM",Spain,75,78,8500000.0,19000.0,Right,1,3,3,Lean,18500000.0,,,,,36.5,73.0,66.14285714285714,63.333333333333336,70.71428571428571,45.0
